Name,Card Number,Name,Rarity,Is Unique,Normal Price,Foil Price
Spark of Rebellion,032,Scout Bike Pursuer,Common,false,0.07 €,0.20 €
Spark of Rebellion,033,Death Trooper,Common,false,0.10 €,0.20 €
Spark of Rebellion,034,Del Meeko,Rare,true,0.89 €,1.53 €
Spark of Rebellion,035,Lieutenant Childsen,Uncommon,true,0.16 €,0.25 €
Spark of Rebellion,036,Gideon Hask,Rare,true,2.31 €,2.04 €
Spark of Rebellion,037,Academy Defense Walker,Common,false,0.09 €,0.15 €
Spark of Rebellion,038,Count Dooku,Rare,true,1.82 €,2.41 €
Spark of Rebellion,039,AT-AT Suppressor,Uncommon,false,0.14 €,0.19 €
Spark of Rebellion,040,Avenger,Legendary,true,25.87 €,31.46 €
Spark of Rebellion,041,Power of the Dark Side,Uncommon,false,0.62 €,0.97 €
Spark of Rebellion,042,Search Your Feelings,Rare,false,1.01 €,1.75 €
Spark of Rebellion,043,Superlaser Blast,Legendary,false,20.35 €,23.17 €
Spark of Rebellion,044,Restored ARC-170,Common,false,0.11 €,0.19 €
Spark of Rebellion,045,Yoda,Uncommon,true,0.15 €,0.37 €
Spark of Rebellion,046,Consular Security Force,Common,false,0.05 €,0.16 €
Spark of Rebellion,047,Kanan Jarrus,Uncommon,true,0.33 €,0.57 €
Spark of Rebellion,048,Vigilant Honor Guards,Common,false,0.07 €,0.18 €
Spark of Rebellion,049,Obi-Wan Kenobi,Rare,true,1.24 €,1.73 €
Spark of Rebellion,050,The Ghost,Uncommon,true,0.21 €,0.34 €
Spark of Rebellion,051,Luke Skywalker,Legendary,true,43.91 €,44.65 €
Spark of Rebellion,052,Redemption,Rare,true,1.33 €,1.52 €
Spark of Rebellion,053,Luke's Lightsaber,Special,true,0.47 €,50.00 €
Spark of Rebellion,054,Jedi Lightsaber,Rare,false,3.61 €,3.98 €
Spark of Rebellion,055,The Force Is With Me,Uncommon,false,0.19 €,0.31 €
Spark of Rebellion,056,Bendu,Rare,true,0.41 €,0.83 €
Spark of Rebellion,057,Protector,Uncommon,false,0.09 €,0.25 €
Spark of Rebellion,058,Vigilance,Legendary,false,37.41 €,37.67 €
Spark of Rebellion,059,2-1B Surgical Droid,Common,false,0.04 €,0.19 €
Spark of Rebellion,060,Distant Patroller,Uncommon,false,0.11 €,0.21 €
Spark of Rebellion,061,Guardian of the Whills,Common,false,0.06 €,0.16 €
Spark of Rebellion,062,Regional Governor,Rare,false,2.35 €,2.76 €
Spark of Rebellion,063,Cloud City Wing Guard,Common,false,0.05 €,0.21 €
Spark of Rebellion,064,Wilderness Fighter,Common,false,0.08 €,0.20 €
Spark of Rebellion,065,Baze Malbus,Uncommon,true,0.13 €,0.23 €
Spark of Rebellion,066,System Patrol Craft,Common,false,0.06 €,0.20 €
Spark of Rebellion,067,Rugged Survivors,Common,false,0.05 €,0.22 €
Spark of Rebellion,068,Cargo Juggernaut,Common,false,0.06 €,0.25 €
Spark of Rebellion,069,Resilient,Common,false,0.07 €,0.19 €
Spark of Rebellion,070,Devotion,Uncommon,false,0.19 €,0.29 €
Spark of Rebellion,071,Electrostaff,Rare,false,1.48 €,1.19 €
Spark of Rebellion,072,Entrenched,Uncommon,false,0.20 €,0.36 €
Spark of Rebellion,073,Moment of Peace,Common,false,0.08 €,0.14 €
Spark of Rebellion,074,Repair,Common,false,0.05 €,0.15 €
Spark of Rebellion,075,It Binds All Things,Rare,false,1.20 €,2.04 €
Spark of Rebellion,076,Make an Opening,Common,false,0.09 €,0.21 €
Spark of Rebellion,077,Takedown,Uncommon,false,0.71 €,0.81 €
Spark of Rebellion,078,Vanquish,Common,false,0.11 €,0.32 €
Spark of Rebellion,079,Admiral Piett,Uncommon,true,0.09 €,0.23 €
Spark of Rebellion,080,General Tagge,Uncommon,true,0.11 €,0.24 €
Spark of Rebellion,081,Seasoned Shoretrooper,Common,false,0.11 €,0.28 €
Spark of Rebellion,082,Emperor's Royal Guard,Rare,false,2.42 €,2.65 €
Spark of Rebellion,083,Superlaser Technician,Common,false,0.13 €,0.25 €
Spark of Rebellion,084,Grand Moff Tarkin,Special,true,0.48 €,
Spark of Rebellion,085,Rukh,Rare,true,1.17 €,1.88 €
Spark of Rebellion,086,Gladiator Star Destroyer,Common,false,0.06 €,0.15 €
Spark of Rebellion,087,Darth Vader,Legendary,true,63.16 €,66.74 €
Spark of Rebellion,088,Blizzard Assault AT-AT,Uncommon,false,0.09 €,0.27 €
Spark of Rebellion,089,Relentless,Rare,true,0.48 €,0.79 €
Spark of Rebellion,090,Devastator,Legendary,true,14.62 €,16.21 €
Spark of Rebellion,091,The Emperor's Legion,Rare,false,0.78 €,1.22 €
Spark of Rebellion,092,Overwhelming Barrage,Uncommon,false,1.37 €,1.29 €
Spark of Rebellion,093,Alliance Dispatcher,Common,false,0.10 €,0.20 €
Spark of Rebellion,094,Bail Organa,Rare,true,0.66 €,0.70 €
Spark of Rebellion,095,Battlefield Marine,Common,false,0.13 €,0.16 €
Spark of Rebellion,096,Mon Mothma,Uncommon,true,0.15 €,0.28 €
Spark of Rebellion,097,Admiral Ackbar,Rare,true,2.14 €,2.41 €
Spark of Rebellion,098,Echo Base Defender,Common,false,0.15 €,0.25 €
Spark of Rebellion,099,Bright Hope,Uncommon,true,0.40 €,0.57 €
Spark of Rebellion,100,Wedge Antilles,Rare,true,0.77 €,1.18 €
Spark of Rebellion,101,Rogue Squadron Skirmisher,Uncommon,false,0.14 €,0.29 €
Spark of Rebellion,102,Home One,Legendary,true,17.62 €,17.95 €
Spark of Rebellion,103,Rebel Assault,Uncommon,false,0.36 €,0.48 €
Spark of Rebellion,104,U-Wing Reinforcement,Rare,false,5.60 €,5.80 €
Spark of Rebellion,105,General Krell,Rare,true,0.35 €,0.61 €
Spark of Rebellion,106,Attack Pattern Delta,Uncommon,false,0.16 €,0.20 €
Spark of Rebellion,107,Command,Legendary,false,19.70 €,20.54 €
Spark of Rebellion,108,Vanguard Infantry,Common,false,0.06 €,0.16 €
Spark of Rebellion,109,Colonel Yularen,Uncommon,true,0.21 €,0.37 €
Spark of Rebellion,110,Frontline Shuttle,Rare,false,0.57 €,0.91 €
Spark of Rebellion,111,Patrolling V-Wing,Common,false,0.08 €,0.17 €
Spark of Rebellion,112,Consortium StarViper,Common,false,0.13 €,0.26 €
Spark of Rebellion,113,Homestead Militia,Common,false,0.04 €,0.18 €
Spark of Rebellion,114,Escort Skiff,Common,false,0.07 €,0.19 €
Spark of Rebellion,115,Agent Kallus,Rare,true,0.63 €,0.99 €
Spark of Rebellion,116,Steadfast Battalion,Common,false,0.08 €,0.18 €
Spark of Rebellion,117,Mercenary Company,Common,false,0.07 €,0.17 €
Spark of Rebellion,118,97th Legion,Uncommon,true,0.13 €,0.28 €
Spark of Rebellion,119,Reinforcement Walker,Uncommon,false,0.73 €,0.67 €
Spark of Rebellion,120,Academy Training,Common,false,0.06 €,0.13 €
Spark of Rebellion,121,Hardpoint Heavy Blaster,Uncommon,false,0.11 €,0.22 €
Spark of Rebellion,122,Traitorous,Rare,false,4.87 €,4.26 €
Spark of Rebellion,123,Recruit,Common,false,0.07 €,0.16 €
Spark of Rebellion,124,Tactical Advantage,Common,false,0.06 €,0.18 €
Spark of Rebellion,125,Prepare For Takeoff,Uncommon,false,0.12 €,0.28 €
Spark of Rebellion,126,Resupply,Common,false,0.21 €,0.33 €
Spark of Rebellion,127,Strike True,Common,false,0.11 €,0.18 €
Spark of Rebellion,128,Death Star Stormtrooper,Common,false,0.08 €,0.24 €
Spark of Rebellion,129,Admiral Ozzel,Uncommon,true,0.09 €,0.27 €
Spark of Rebellion,130,First Legion Snowtrooper,Common,false,0.08 €,0.21 €
Spark of Rebellion,131,Fifth Brother,Uncommon,true,0.33 €,0.58 €
Spark of Rebellion,132,Imperial Interceptor,Common,false,0.11 €,0.21 €
Spark of Rebellion,133,Seventh Sister,Rare,true,3.34 €,4.32 €
Spark of Rebellion,134,Ruthless Raider,Uncommon,false,0.93 €,0.97 €
Spark of Rebellion,135,Emperor Palpatine,Rare,true,0.96 €,2.05 €
Spark of Rebellion,136,Vader's Lightsaber,Special,true,0.36 €,
Spark of Rebellion,137,Fallen Lightsaber,Rare,false,9.09 €,7.39 €
Spark of Rebellion,138,Force Lightning,Legendary,false,12.61 €,14.31 €
Spark of Rebellion,139,Force Choke,Uncommon,false,0.25 €,0.37 €
Spark of Rebellion,140,SpecForce Soldier,Common,false,0.10 €,0.23 €
Spark of Rebellion,141,Green Squadron A-Wing,Common,false,0.14 €,0.18 €
Spark of Rebellion,142,Sabine Wren,Uncommon,true,0.96 €,1.01 €
Spark of Rebellion,143,Fighters For Freedom,Uncommon,false,0.27 €,0.42 €
Spark of Rebellion,144,Red Three,Rare,true,8.30 €,8.44 €
Spark of Rebellion,145,K-2SO,Rare,true,9.59 €,9.40 €
Spark of Rebellion,146,Zeb Orrelios,Uncommon,true,0.13 €,0.42 €
Spark of Rebellion,147,Black One,Legendary,true,7.91 €,9.09 €
Spark of Rebellion,148,Guerilla Attack Pod,Common,false,0.09 €,0.22 €
Spark of Rebellion,149,Mace Windu,Legendary,true,7.00 €,8.11 €
Spark of Rebellion,150,Heroic Sacrifice,Rare,false,1.95 €,2.33 €
Spark of Rebellion,151,Karabast,Uncommon,false,0.14 €,0.20 €
Spark of Rebellion,152,For a Cause I Believe In,Rare,false,5.00 €,5.68 €
Spark of Rebellion,153,Saw Gerrera,Rare,true,0.90 €,1.09 €
Spark of Rebellion,154,Rallying Cry,Uncommon,false,0.12 €,0.24 €
Spark of Rebellion,155,Aggression,Legendary,false,25.70 €,22.99 €
Spark of Rebellion,156,"Benthic ""Two Tubes""",Uncommon,true,0.27 €,0.36 €
Spark of Rebellion,157,Cantina Braggart,Common,false,0.04 €,0.18 €
Spark of Rebellion,158,Jedha Agitator,Common,false,0.06 €,0.15 €
Spark of Rebellion,159,Partisan Insurgent,Common,false,0.09 €,0.16 €
Spark of Rebellion,160,Wolffe,Rare,true,2.03 €,2.42 €
Spark of Rebellion,161,Ardent Sympathizer,Common,false,0.05 €,0.16 €
Spark of Rebellion,162,Disabling Fang Fighter,Common,false,0.07 €,0.21 €
Spark of Rebellion,163,Star Wing Scout,Uncommon,false,0.09 €,0.24 €
Spark of Rebellion,164,Wampa,Common,false,0.07 €,0.22 €
Spark of Rebellion,165,Occupier Siege Tank,Common,false,0.05 €,0.18 €
Spark of Rebellion,166,Infiltrator's Skill,Common,false,0.09 €,0.17 €
Spark of Rebellion,167,Force Throw,Uncommon,false,0.47 €,0.50 €
Spark of Rebellion,168,Precision Fire,Common,false,0.06 €,0.18 €
Spark of Rebellion,169,Keep Fighting,Common,false,0.09 €,0.21 €
Spark of Rebellion,170,Power Failure,Uncommon,false,0.09 €,0.26 €
Spark of Rebellion,171,Mission Briefing,Common,false,0.06 €,0.17 €
Spark of Rebellion,172,Open Fire,Common,false,0.10 €,0.35 €
Spark of Rebellion,173,Bombing Run,Rare,false,1.39 €,2.17 €
Spark of Rebellion,174,Smoke and Cinders,Rare,false,0.32 €,0.45 €
Spark of Rebellion,175,Forced Surrender,Uncommon,false,0.11 €,0.25 €
Spark of Rebellion,176,ISB Agent,Common,false,0.07 €,0.19 €
Spark of Rebellion,177,Bib Fortuna,Uncommon,true,0.09 €,0.28 €
Spark of Rebellion,178,Cartel Spacer,Uncommon,false,0.28 €,0.36 €
Spark of Rebellion,179,Boba Fett,Legendary,true,53.45 €,55.86 €
Spark of Rebellion,180,Seventh Fleet Defender,Common,false,0.13 €,0.19 €
Spark of Rebellion,181,Jabba the Hutt,Rare,true,1.31 €,1.65 €
Spark of Rebellion,182,Bossk,Uncommon,true,0.26 €,0.32 €
Spark of Rebellion,183,Bounty Hunter Crew,Common,false,0.07 €,0.20 €
Spark of Rebellion,184,Fett's Firespray,Rare,true,5.20 €,5.99 €
Spark of Rebellion,185,Chimaera,Rare,true,0.81 €,0.96 €
Spark of Rebellion,186,No Good to Me Dead,Uncommon,false,0.39 €,0.56 €
Spark of Rebellion,187,I Had No Choice,Rare,false,0.44 €,0.59 €
Spark of Rebellion,188,Chopper,Rare,true,2.00 €,2.57 €
Spark of Rebellion,189,Leia Organa,Special,true,1.16 €,
Spark of Rebellion,190,Lothal Insurgent,Common,false,0.08 €,0.17 €
Spark of Rebellion,191,Vanguard Ace,Uncommon,false,0.12 €,0.20 €
Spark of Rebellion,192,Ezra Bridger,Uncommon,true,0.29 €,0.42 €
Spark of Rebellion,193,Millennium Falcon,Legendary,true,30.26 €,38.76 €
Spark of Rebellion,194,Rogue Operative,Common,false,0.05 €,0.25 €
Spark of Rebellion,195,Auzituck Liberator Gunship,Common,false,0.05 €,0.14 €
Spark of Rebellion,196,Chewbacca,Uncommon,true,0.09 €,0.29 €
Spark of Rebellion,197,Lando Calrissian,Rare,true,0.69 €,1.19 €
Spark of Rebellion,198,Han Solo,Rare,true,0.59 €,1.07 €
Spark of Rebellion,199,Bamboozle,Uncommon,false,0.15 €,0.20 €
Spark of Rebellion,200,Spark of Rebellion,Rare,false,3.18 €,4.29 €
Spark of Rebellion,201,Bodhi Rook,Rare,true,1.81 €,2.13 €
Spark of Rebellion,202,Cantina Bouncer,Uncommon,false,0.11 €,0.31 €
Spark of Rebellion,203,Cunning,Legendary,false,36.43 €,37.61 €
Spark of Rebellion,204,Greedo,Uncommon,true,0.36 €,0.46 €
Spark of Rebellion,205,Jawa Scavenger,Common,false,0.08 €,0.29 €
Spark of Rebellion,206,Mining Guild TIE Fighter,Common,false,0.10 €,0.18 €
Spark of Rebellion,207,Crafty Smuggler,Common,false,0.12 €,0.19 €
Spark of Rebellion,208,Outer Rim Headhunter,Common,false,0.08 €,0.20 €
Spark of Rebellion,209,Pirated Starfighter,Uncommon,false,0.16 €,0.31 €
Spark of Rebellion,210,Swoop Racer,Common,false,0.04 €,0.19 €
Spark of Rebellion,211,Gamorrean Guards,Common,false,0.09 €,0.17 €
Spark of Rebellion,212,Strafing Gunship,Rare,false,2.29 €,2.57 €
Spark of Rebellion,213,Syndicate Lackeys,Common,false,0.08 €,0.24 €
Spark of Rebellion,214,Smuggling Compartment,Uncommon,false,0.17 €,0.23 €
Spark of Rebellion,215,Snapshot Reflexes,Common,false,0.09 €,0.23 €
Spark of Rebellion,216,Disarm,Common,false,0.06 €,0.21 €
Spark of Rebellion,217,Shoot First,Uncommon,false,0.27 €,0.52 €
Spark of Rebellion,218,Asteroid Sanctuary,Common,false,0.06 €,0.15 €
Spark of Rebellion,219,Sneak Attack,Rare,false,2.23 €,2.93 €
Spark of Rebellion,220,Surprise Strike,Common,false,0.12 €,0.23 €
Spark of Rebellion,221,Outmaneuver,Uncommon,false,0.24 €,0.37 €
Spark of Rebellion,222,Waylay,Common,false,0.10 €,0.23 €
Spark of Rebellion,223,Don't Get Cocky,Rare,false,0.24 €,0.68 €
Spark of Rebellion,224,Change of Heart,Legendary,false,12.56 €,15.53 €
Spark of Rebellion,225,TIE/ln Fighter,Common,false,0.10 €,0.21 €
Spark of Rebellion,226,Admiral Motti,Special,true,0.54 €,5.99 €
Spark of Rebellion,227,Snowtrooper Lieutenant,Common,false,0.10 €,0.19 €
Spark of Rebellion,228,Viper Probe Droid,Common,false,0.10 €,0.27 €
Spark of Rebellion,229,Cell Block Guard,Common,false,0.08 €,0.27 €
Spark of Rebellion,230,General Veers,Uncommon,true,0.12 €,0.36 €
Spark of Rebellion,231,TIE Advanced,Uncommon,false,0.20 €,0.28 €
Spark of Rebellion,232,AT-ST,Common,false,0.08 €,0.23 €
Spark of Rebellion,233,I Am Your Father,Special,false,0.77 €,
Spark of Rebellion,234,Maximum Firepower,Common,false,0.09 €,0.17 €
Spark of Rebellion,235,Galactic Ambition,Rare,false,0.46 €,0.83 €
Spark of Rebellion,236,R2-D2,Special,true,1.12 €,
Spark of Rebellion,237,Alliance X-Wing,Common,false,0.08 €,0.21 €
Spark of Rebellion,238,C-3P0,Special,true,0.41 €,
Spark of Rebellion,239,Rebel Pathfinder,Common,false,0.09 €,0.20 €
Spark of Rebellion,240,Fleet Lieutenant,Common,false,0.08 €,0.30 €
Spark of Rebellion,241,Wing Leader,Uncommon,false,0.59 €,1.25 €
Spark of Rebellion,242,General Dodonna,Uncommon,true,0.13 €,0.28 €
Spark of Rebellion,243,Regional Sympathizers,Common,false,0.11 €,0.15 €
Spark of Rebellion,244,Snowspeeder,Common,false,0.04 €,0.15 €
Spark of Rebellion,245,Medal Ceremony,Common,false,0.08 €,0.25 €
Spark of Rebellion,246,You're My Only Hope,Rare,false,0.65 €,1.20 €
Spark of Rebellion,247,Underworld Thug,Common,false,0.04 €,0.14 €
Spark of Rebellion,248,Volunteer Soldier,Common,false,0.05 €,0.12 €
Spark of Rebellion,249,Frontier AT-RT,Common,false,0.05 €,0.14 €
Spark of Rebellion,250,Corellian Freighter,Common,false,0.08 €,0.13 €
Spark of Rebellion,251,Confiscate,Common,false,0.08 €,0.16 €
Spark of Rebellion,252,Restock,Common,false,0.07 €,0.18 €
Spark of Rebellion,253,Director Krennic,Common,true,315.05 €,
Spark of Rebellion,254,Iden Versio,Rare,true,305.60 €,
Spark of Rebellion,255,Chewbacca,Common,true,344.54 €,
Spark of Rebellion,256,Chirrut Îmwe,Rare,true,257.02 €,
Spark of Rebellion,257,Emperor Palpatine,Rare,true,515.58 €,
Spark of Rebellion,258,Grand Moff Tarkin,Common,true,341.88 €,
Spark of Rebellion,259,Hera Syndulla,Rare,true,284.34 €,
Spark of Rebellion,260,Leia Organa,Common,true,630.59 €,
Spark of Rebellion,261,Grand Inquisitor,Rare,true,236.10 €,
Spark of Rebellion,262,IG-88,Common,true,173.26 €,
Spark of Rebellion,263,Cassian Andor,Rare,true,236.66 €,
Spark of Rebellion,264,Sabine Wren,Common,true,373.00 €,
Spark of Rebellion,265,Boba Fett,Common,true,798.54 €,
Spark of Rebellion,266,Grand Admiral Thrawn,Rare,true,285.28 €,
Spark of Rebellion,267,Han Solo,Rare,true,441.19 €,
Spark of Rebellion,268,Jyn Erso,Common,true,172.26 €,
Spark of Rebellion,269,Director Krennic,Common,true,0.16 €,
Spark of Rebellion,270,Iden Versio,Rare,true,2.46 €,
Spark of Rebellion,271,Chewbacca,Common,true,0.16 €,
Spark of Rebellion,272,Chirrut Îmwe,Rare,true,1.12 €,
Spark of Rebellion,273,Emperor Palpatine,Rare,true,2.28 €,
Spark of Rebellion,274,Grand Moff Tarkin,Common,true,0.20 €,
Spark of Rebellion,275,Hera Syndulla,Rare,true,1.91 €,
Spark of Rebellion,276,Leia Organa,Common,true,0.19 €,
Spark of Rebellion,277,Grand Inquisitor,Rare,true,1.71 €,
Spark of Rebellion,278,IG-88,Common,true,0.17 €,
Spark of Rebellion,279,Cassian Andor,Rare,true,1.11 €,
Spark of Rebellion,280,Sabine Wren,Common,true,0.11 €,
Spark of Rebellion,281,Boba Fett,Common,true,0.18 €,
Spark of Rebellion,282,Grand Admiral Thrawn,Rare,true,2.35 €,
Spark of Rebellion,283,Han Solo,Rare,true,1.22 €,
Spark of Rebellion,284,Jyn Erso,Common,true,0.23 €,
Spark of Rebellion,285,Security Complex,Rare,false,7.51 €,23.36 €
Spark of Rebellion,286,Capital City,Common,false,0.50 €,
Spark of Rebellion,287,Dagobah Swamp,Common,false,0.50 €,
Spark of Rebellion,288,Energy Conversion Lab,Rare,false,15.93 €,52.40 €
Spark of Rebellion,289,Command Center,Common,false,0.39 €,
Spark of Rebellion,290,Echo Base,Common,false,0.65 €,
Spark of Rebellion,291,Tarkintown,Rare,false,11.46 €,41.89 €
Spark of Rebellion,292,Catacombs of Cadera,Common,false,0.65 €,
Spark of Rebellion,293,Kestro City,Common,false,0.43 €,
Spark of Rebellion,294,Jedha City,Rare,false,5.71 €,16.51 €
Spark of Rebellion,295,Administrator's Tower,Common,false,0.65 €,
Spark of Rebellion,296,Chopper Base,Common,false,0.62 €,
Spark of Rebellion,297,Inferno Four,Uncommon,true,4.19 €,12.55 €
Spark of Rebellion,298,Scout Bike Pursuer,Common,false,0.80 €,1.69 €
Spark of Rebellion,299,Death Trooper,Common,false,0.85 €,2.20 €
Spark of Rebellion,300,Del Meeko,Rare,true,4.54 €,16.54 €
Spark of Rebellion,301,Lieutenant Childsen,Uncommon,true,3.41 €,16.09 €
Spark of Rebellion,302,Gideon Hask,Rare,true,10.56 €,27.47 €
Spark of Rebellion,303,Academy Defense Walker,Common,false,0.24 €,0.69 €
Spark of Rebellion,304,Count Dooku,Rare,true,5.94 €,20.35 €
Spark of Rebellion,305,AT-AT Suppressor,Uncommon,false,1.00 €,1.55 €
Spark of Rebellion,306,Avenger,Legendary,true,30.52 €,58.97 €
Spark of Rebellion,307,Power of the Dark Side,Uncommon,false,5.41 €,15.98 €
Spark of Rebellion,308,Search Your Feelings,Rare,false,6.21 €,19.64 €
Spark of Rebellion,309,Superlaser Blast,Legendary,false,31.71 €,56.62 €
Spark of Rebellion,310,Restored ARC-170,Common,false,0.98 €,2.36 €
Spark of Rebellion,311,Yoda,Uncommon,true,1.25 €,5.23 €
Spark of Rebellion,312,Consular Security Force,Common,false,0.28 €,0.70 €
Spark of Rebellion,313,Kanan Jarrus,Uncommon,true,4.66 €,14.76 €
Spark of Rebellion,314,Vigilant Honor Guards,Common,false,0.23 €,0.65 €
Spark of Rebellion,315,Obi-Wan Kenobi,Rare,true,12.83 €,37.82 €
Spark of Rebellion,316,The Ghost,Uncommon,true,2.28 €,5.36 €
Spark of Rebellion,317,Luke Skywalker,Legendary,true,51.84 €,137.11 €
Spark of Rebellion,318,Redemption,Rare,true,7.78 €,17.37 €
Spark of Rebellion,319,Jedi Lightsaber,Rare,false,7.71 €,18.49 €
Spark of Rebellion,320,The Force Is With Me,Uncommon,false,1.63 €,5.79 €
Spark of Rebellion,321,Bendu,Rare,true,2.79 €,10.08 €
Spark of Rebellion,322,Protector,Uncommon,false,0.71 €,1.61 €
Spark of Rebellion,323,Vigilance,Legendary,false,43.50 €,74.71 €
Spark of Rebellion,324,2-1B Surgical Droid,Common,false,0.20 €,0.85 €
Spark of Rebellion,325,Distant Patroller,Uncommon,false,0.96 €,1.68 €
Spark of Rebellion,326,Guardian of the Whills,Common,false,0.28 €,1.38 €
Spark of Rebellion,327,Regional Governor,Rare,false,4.81 €,20.97 €
Spark of Rebellion,328,Cloud City Wing Guard,Common,false,0.27 €,1.11 €
Spark of Rebellion,329,Wilderness Fighter,Common,false,0.31 €,0.66 €
Spark of Rebellion,330,Baze Malbus,Uncommon,true,1.00 €,4.39 €
Spark of Rebellion,331,System Patrol Craft,Common,false,0.95 €,1.92 €
Spark of Rebellion,332,Rugged Survivors,Common,false,0.26 €,0.71 €
Spark of Rebellion,333,Cargo Juggernaut,Common,false,0.39 €,1.58 €
Spark of Rebellion,334,Resilient,Common,false,0.28 €,0.77 €
Spark of Rebellion,335,Devotion,Uncommon,false,3.25 €,6.72 €
Spark of Rebellion,336,Electrostaff,Rare,false,4.07 €,13.12 €
Spark of Rebellion,337,Entrenched,Uncommon,false,2.20 €,9.74 €
Spark of Rebellion,338,Moment of Peace,Common,false,0.28 €,0.62 €
Spark of Rebellion,339,Repair,Common,false,0.37 €,1.56 €
Spark of Rebellion,340,It Binds All Things,Rare,false,6.80 €,13.17 €
Spark of Rebellion,341,Make an Opening,Common,false,0.85 €,2.35 €
Spark of Rebellion,342,Takedown,Uncommon,false,2.85 €,7.19 €
Spark of Rebellion,343,Vanquish,Common,false,1.18 €,4.40 €
Spark of Rebellion,344,Admiral Piett,Uncommon,true,1.17 €,3.34 €
Spark of Rebellion,345,General Tagge,Uncommon,true,1.06 €,2.16 €
Spark of Rebellion,346,Seasoned Shoretrooper,Common,false,1.13 €,3.98 €
Spark of Rebellion,347,Emperor's Royal Guard,Rare,false,11.35 €,21.09 €
Spark of Rebellion,348,Superlaser Technician,Common,false,2.98 €,7.42 €
Spark of Rebellion,349,Rukh,Rare,true,5.38 €,10.31 €
Spark of Rebellion,350,Gladiator Star Destroyer,Common,false,0.30 €,0.67 €
Spark of Rebellion,351,Darth Vader,Legendary,true,87.02 €,251.42 €
Spark of Rebellion,352,Blizzard Assault AT-AT,Uncommon,false,0.71 €,1.93 €
Spark of Rebellion,353,Relentless,Rare,true,8.50 €,20.36 €
Spark of Rebellion,354,Devastator,Legendary,true,19.13 €,40.14 €
Spark of Rebellion,355,The Emperor's Legion,Rare,false,3.00 €,12.69 €
Spark of Rebellion,356,Overwhelming Barrage,Uncommon,false,8.88 €,20.41 €
Spark of Rebellion,357,Alliance Dispatcher,Common,false,0.41 €,1.87 €
Spark of Rebellion,358,Bail Organa,Rare,true,2.75 €,7.35 €
Spark of Rebellion,359,Battlefield Marine,Common,false,0.75 €,2.99 €
Spark of Rebellion,360,Mon Mothma,Uncommon,true,1.84 €,5.08 €
Spark of Rebellion,361,Admiral Ackbar,Rare,true,10.80 €,21.67 €
Spark of Rebellion,362,Echo Base Defender,Common,false,1.19 €,4.92 €
Spark of Rebellion,363,Bright Hope,Uncommon,true,3.87 €,8.83 €
Spark of Rebellion,364,Wedge Antilles,Rare,true,3.59 €,11.44 €
Spark of Rebellion,365,Rogue Squadron Skirmisher,Uncommon,false,1.31 €,2.81 €
Spark of Rebellion,366,Home One,Legendary,true,23.57 €,47.56 €
Spark of Rebellion,367,Rebel Assault,Uncommon,false,3.23 €,9.09 €
Spark of Rebellion,368,U-Wing Reinforcement,Rare,false,15.24 €,36.97 €
Spark of Rebellion,369,General Krell,Rare,true,2.99 €,11.39 €
Spark of Rebellion,370,Attack Pattern Delta,Uncommon,false,1.08 €,3.40 €
Spark of Rebellion,371,Command,Legendary,false,23.51 €,38.05 €
